window_id,window_start,hours,annual_weight_per_hour,service_id,service_curtailment_ceiling_mwh,renewable_available_mwh,comparator_curtailment_mwh,candidate_curtailment_mwh,curtailment_reduction_mwh,comparator_fuel_tce,candidate_fuel_tce,fuel_saving_tce,comparator_pcc_export_mwh,candidate_pcc_export_mwh,pcc_export_change_mwh,tes_auxiliary_mwh_e,comparator_primary_cost_cny,candidate_primary_primal_bound_cny,candidate_primary_dual_bound_cny,candidate_primary_mip_gap,secondary_curtailment_mip_gap,tes_ownership_eac_lower_bound_cny_per_year,tes_ownership_eac_upper_bound_cny_per_year,tes_ownership_eac_interval_width_cny_per_year,eac_lower_cny_per_kwh_th_year,eac_upper_cny_per_kwh_th_year,eac_lower_cny_per_kw_port_year,eac_upper_cny_per_kw_port_year,claim_scope,formal_tes_portfolio_ready,non_tes_cost_scope_complete,scientific_status
winter_day_20240101,2024-01-01T00:00:00,24,366.000000,e0d18_primary_incumbent_no_storage:winter_day_20240101,578534.890444,3114294.617098,578534.890132,369164.905506,209369.984626,679515.402564,609293.294948,70222.107616,4656918.486026,3773325.204941,-883593.281085,10140.311090,544196705.297346,487958628.191914,487958628.191914,0.000000,0.000000,56238077.105431,56238077.105431,0.000000,46.865064,46.865064,374.920514,374.920514,exploratory_threshold_only,false,false,exact_24h_formulation_regression
winter_fortnight_20240101,2024-01-01T00:00:00,336,26.142857,e0d18_primary_incumbent_no_storage:winter_fortnight_20240101,583464.371315,2803298.353928,583464.371022,322510.751438,260953.619583,656045.516795,584157.712079,71887.804715,4269882.495252,3401094.852537,-868787.642716,12060.412851,525400612.580096,467828545.295841,465583101.221360,0.004800,0.000000,57572067.284259,59817511.358736,2245444.074477,47.976723,49.847926,383.813782,398.783409,exploratory_threshold_only,false,false,bounded_gap_336h_exploratory_interval_not_formal_tac
