window_id,hours,seed_strategy,shift_periods,seed_positive_sign_count,selected_face_l1_mwh,initial_seed_support_witness_mwh,support_primal_mwh,support_dual_mwh,support_relative_gap,support_termination,feasible_l1_redistribution_mwh,best_feasible_l1_redistribution_mwh,improvement_over_selected_face_mwh,sign_change_count,fixed_point_reached,maximum_positive_normalized_constraint_residual,l1_minus_support_mwh,support_dual_is_global_l1_upper_bound,global_l1_bound_generated,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_fortnight_20240101,336,negated,0,233,36382.462798672,-36382.462798672,-36382.462798672,29357.698910053,1.806918956,maxtimelimit,36382.462798672,36382.462798672,0.000000000,248,false,0.000000000,72764.925597343,false,false,false,false,false,strict_feasible_witness_screen_no_improvement
winter_fortnight_20240101,336,alternating,0,168,36382.462798672,-2801.416744619,-2801.416744619,38535.924320833,14.755869916,maxtimelimit,36382.462798672,36382.462798672,0.000000000,125,false,0.000000000,39183.879543290,false,false,false,false,false,strict_feasible_witness_screen_no_improvement
