window_id,hours,annual_weight_per_hour,common_pcc_export_mwh,comparator_pcc_export_mwh,candidate_pcc_export_mwh,annual_export_difference_mwh,positive_shifted_export_mwh,negative_shifted_export_mwh,gross_absolute_redistribution_mwh,redistributed_export_mwh,redistribution_fraction_of_common_export,max_abs_period_delta_mw,settlement_delta_bound_cny_per_year_per_cny_per_mwh_spread,flat_price_settlement_difference_cny_per_year,time_varying_settlement_complete,trace_solution_uniqueness_proven,scientific_status
winter_day_20240101,24,366.000000000,4656918.486025815,4656918.486025817,4656918.486025816,-0.000000001,26010.174917694,26010.174917695,52020.349835389,26010.174917694,0.005585276,64.101151721,26010.174917694,0.000000000,false,false,selected_dispatch_price_spread_exposure_not_formal_tac
winter_fortnight_20240101,336,26.142857143,4269882.495252492,4269882.495252490,4269882.495252490,-0.000000001,31228.008145115,31228.008145116,62456.016290231,31228.008145116,0.007313552,151.204478723,31228.008145116,0.000000000,false,false,selected_dispatch_price_spread_exposure_not_formal_tac
