Running HiGHS 1.15.1 (git hash: 04024d7): Copyright (c) 2026 under MIT licence terms
Includes third-party software components, see THIRD_PARTY_NOTICES.md for full details
LP has 495630 rows; 539546 cols; 1985956 nonzeros
Coefficient ranges:
  Matrix  [2e-08, 2e+04]
  Cost    [1e+02, 5e+05]
  Bound   [9e-01, 6e+04]
  RHS     [2e-01, 3e+05]
Solving LP without presolve or useful basis
Using dual simplex solver
  Iteration        Objective     Infeasibilities num(sum)
          0     0.0000000000e+00 Ph1: 0(0) 0.4s
     238706     2.1252411771e+08 Pr: 66506(3.23442e+06); Du: 0(5.24242e-07) 374.3s
     241380     2.1359049370e+08 Pr: 66302(1.52979e+07); Du: 0(5.67745e-07) 380.8s
     243142     2.1413904246e+08 Pr: 80983(7.85832e+08); Du: 0(4.66436e-07) 386.6s
     244906     2.1472143170e+08 Pr: 65313(2.06873e+08); Du: 0(4.66436e-07) 395.5s
     246971     2.1667459180e+08 Pr: 84540(8.97306e+07); Du: 0(4.66436e-07) 400.8s
     247525     2.1672650612e+08 Pr: 66196(1.89252e+06); Du: 0(4.66436e-07) 407.4s
     248666     2.1698568313e+08 Pr: 66781(4.00043e+06); Du: 0(4.35481e-07) 414.1s
     253983     2.1943356594e+08 Pr: 97885(6.32039e+11); Du: 0(5.30778e-07) 420.3s
     255850     2.2002355281e+08 Pr: 69234(3.75441e+06); Du: 0(6.13996e-07) 426.3s
     257033     2.2016829490e+08 Pr: 88044(1.11164e+08); Du: 0(5.34108e-07) 432.8s
     258370     2.2053592397e+08 Pr: 64471(3.14155e+06); Du: 0(5.30778e-07) 441.6s
     259559     2.2089849177e+08 Pr: 84493(5.31204e+07); Du: 0(5.30778e-07) 450.1s
     261038     2.2127394452e+08 Pr: 63102(1.96892e+06); Du: 0(4.99278e-07) 458.7s
     262845     2.2186261919e+08 Pr: 71106(3.34701e+06); Du: 0(4.99278e-07) 466.8s
     263662     2.2213910874e+08 Pr: 89210(7.30393e+08); Du: 0(4.99278e-07) 473.3s
     264946     2.2246559259e+08 Pr: 76542(3.97919e+07); Du: 0(5.77101e-07) 479.8s
     274125     2.2688798348e+08 Pr: 57682(3.76285e+07); Du: 0(4.71146e-07) 486.5s
     275759     2.2732075419e+08 Pr: 74521(2.39021e+08); Du: 0(3.21821e-07) 492.9s
     276846     2.2760118907e+08 Pr: 54960(2.00499e+06); Du: 0(3.21821e-07) 498.4s
     278590     2.2819025149e+08 Pr: 55789(2.59551e+07); Du: 0(3.21821e-07) 503.4s
     279791     2.2851619406e+08 Pr: 54583(1.97983e+06); Du: 0(4.07822e-07) 509.1s
     281650     2.2907717905e+08 Pr: 78696(2.19185e+08); Du: 0(4.14968e-07) 518.4s
     283919     2.2966338613e+08 Pr: 91816(3.64635e+09); Du: 0(4.14968e-07) 524.5s
     288144     2.3111028461e+08 Pr: 63486(1.19791e+07); Du: 0(4.14968e-07) 534.2s
     288654     2.3122505978e+08 Pr: 51847(1.30346e+08); Du: 0(4.14968e-07) 539.5s
     289078     2.3134284545e+08 Pr: 78339(6.72575e+08); Du: 0(6.00906e-07) 545.0s
     291310     2.3186995945e+08 Pr: 65638(8.17702e+07); Du: 0(3.33766e-07) 551.1s
     291803     2.3202543252e+08 Pr: 99725(1.09831e+10); Du: 0(4.11687e-07) 556.1s
     292050     2.3206625898e+08 Pr: 59568(2.12396e+06); Du: 0(4.89532e-07) 562.0s
     293147     2.3232945693e+08 Pr: 68436(6.13616e+07); Du: 0(3.33766e-07) 569.6s
     294283     2.3258683531e+08 Pr: 66315(1.32631e+08); Du: 0(4.46162e-07) 577.9s
     294942     2.3279842216e+08 Pr: 85618(1.16342e+11); Du: 0(4.06329e-07) 584.2s
     296526     2.3320791641e+08 Pr: 74668(1.1638e+08); Du: 0(2.48417e-07) 590.9s
     297198     2.3335007042e+08 Pr: 59839(9.21057e+06); Du: 0(2.48417e-07) 596.4s
     297738     2.3347784966e+08 600.1s

Model status        : Interrupted by user
Simplex   iterations: 297738
Objective value     :  2.3335942547e+08
P-D objective error :  3.2425558225e-12
HiGHS run time      :        600.13
