Solution_ID,Economic_Cost,Matching_Index,PV,WT,GT,HP,EC,AC,ES,HS,CS
0,855150.1005154361,470.14621465824837,940.7824054983045,1.8310546875,3092.9916256452684,519.10400390625,614.1662597656249,464.37728560971067,5106.8115234375,3556.826137862706,155.82275390625
1,1362807.7719882173,435.0039776768765,1421.8086210635788,446.89793198680616,4685.622310916962,133.21294043535596,613.1652606329517,240.41748046875,12020.263671875,3582.079191621724,1551.692608959197
2,1445591.3704401103,428.2864535680857,1243.0291396735893,446.77734375,6398.452972962393,133.21294043535596,973.351612631199,240.41748046875,12020.263671875,4165.46630859375,1586.3660261364382
