Solution_ID,Economic_Cost,Matching_Index,PV,WT,GT,HP,EC,AC,ES,HS,CS
4,911954.5960074248,1824.8818062632636,3029.542828774187,418.0000720857662,2737.696563588642,900.593928371133,608.5277898825343,438.47551747039364,2201.6567008742845,5123.198370249032,446.0299240124215
1,929605.1680177262,1791.6111657244903,3055.6368744269625,584.5639492573933,2737.475933495592,900.593928371133,608.562118852801,438.47551747039364,2204.541842018364,5117.697363140472,446.0299240124215
0,968803.5428838085,1652.2405571151112,3274.999133967558,1226.8773286420433,1899.7356131987494,938.2159801559775,610.3360710607404,997.7508841249314,1937.255859375,5618.684167148883,1230.5179031917776
8,1298474.458357228,1548.9835049396506,7670.762293653889,568.4943820334104,2737.696960041862,2288.7711826600453,610.3600040931981,983.551025390625,1937.255859375,5618.684167148883,1230.5179031917776
9,1336179.4872519693,1425.2301216338865,6093.1396484375,1346.13037109375,3091.4306640625,2791.259765625,944.122314453125,834.28955078125,3562.6220703125,1075.1953125,702.20947265625
3,1404133.2827114135,1320.8220070450222,6093.1396484375,2063.335461365411,3091.4306640625,2791.259765625,944.122314453125,834.28955078125,3562.6220703125,1075.1953125,791.4394025039755
7,1461323.8313854719,1057.661529135156,3080.5030666885455,4421.023115501724,2515.8724952540942,243.11643035530236,610.6927019975847,869.8279129886375,3222.444206097794,4685.302734375,1621.826171875
5,2078367.453198828,1036.088583477489,3037.0309469971603,4432.449835438566,4590.276064003492,243.11643035530236,610.6927019975847,869.8279129886375,17868.02865791221,4975.662388415881,1621.826171875
2,2078849.1714206014,872.9653058865999,3162.23722460544,4430.053837093867,3039.0679255461146,0.0,951.0546188595822,869.8279129886375,17183.75582659474,3877.3122400666944,1621.826171875
6,3003850534719.925,767.0711303929945,7413.330078125,3196.10595703125,4593.20068359375,58.77685546875,208.05809318460223,44.097900390625,17982.177734375,253.96728515625,904.47998046875
