Solution_ID,Economic_Cost,Matching_Index,PV,WT,GT,HP,EC,AC,ES,HS,CS
37,455030.68344331736,2213.3925213239036,0.22554795430667696,0.21490523342594559,549.6668722853859,759.5067242311392,530.1636497842106,78.71915140125901,0.0,817.0451882692199,497.2139452838416
11,455030.68344331736,2213.3925213239036,0.22554795430667696,0.21490523342594559,549.6668722853859,759.5067242311392,530.1636497842106,78.71915140125901,0.0,817.0451882692199,497.2139452838416
10,477206.98923414014,2149.162685104017,139.35741107497097,2.982214357847125,379.38073223525555,816.9399400360287,125.6761941574496,462.84543211017973,6.7963538034102235,2619.5925862014806,320.0833574159939
5,490007.81185394234,2129.2786795739453,139.35741107497097,1.4023129395400193,545.5345518795507,816.9399400360287,86.33019789348498,544.6342576710932,6.7963538034102235,83.69751565198943,320.0833574159939
47,506136.0682400134,2092.9123085875585,266.34494429910734,8.803059949848187,547.0133057997413,841.299895618259,29.463523222082195,548.2975362420988,0.0,452.864952413491,320.0833574159939
49,518873.2473548106,2035.6253240931949,154.27859513437025,8.803059949848187,559.938254639964,770.612668838475,0.07660161582657077,548.7743507716432,14.398329960758986,525.0647287350267,438.54507542621343
35,520666.79841824167,2035.551440412331,154.27859513437025,8.803059949848187,559.938254639964,770.612668838475,0.0,634.9153473424632,11.19490800159288,525.0647287350267,438.54507542621343
14,539855.7889604032,1983.1548791653731,154.27859513437025,19.544285680871468,547.0133057997413,702.8083277075773,0.47438414809758633,548.7743507716432,81.8890194980106,167.29139004589103,340.38971102491405
26,567221.4046453983,1929.9246006610517,159.1523855576176,36.57151622350559,567.9574107563732,536.2852043943341,74.36534768636027,598.9353922215025,78.64186901038772,2702.7832991681526,302.57614555331946
46,583621.2203447034,1884.1600693093553,281.8787827855279,2.9287012656240163,549.6668722853859,220.62480449986677,483.49961088552953,121.60575126838108,1.7374211812481033,529.2137802827256,437.8342289295833
15,613005.2046447902,1792.8703144378069,469.8631735188987,94.19415595096478,571.3266858682166,518.4420889361613,0.05022457742244253,471.8281744578514,0.0,2552.4571714496674,380.4259303147528
22,647986.8868613908,1772.3914832468663,439.11695670340146,671.6914775414286,574.8716626720803,519.1937293117867,76.885611154671,629.3703159524521,93.64469161115188,2632.941150628726,432.1596780913885
8,663319.5129356664,1729.0608304966906,439.8106411535926,110.66023488599643,1042.5169543915597,269.19447148539075,130.80961649786425,539.38669285608,28.876403354892926,32.88031939667396,937.998451604398
