Solution_ID,Economic_Cost,Matching_Index,PV,WT,GT,HP,EC,AC,ES,HS,CS
38,428697.99425897875,527.9854903795689,4.645554368551587,0.003162910600976312,149.41188757947873,797.4450837101442,353.98364625133297,5.358927152686233,2.369083042756543,763.0942275164845,1.3894042050536939
26,429715.0295724534,516.7449828983822,5.842247226023837,0.35099792523028395,152.2648065557373,744.6664244493627,336.13804139447666,2.168589701633227,3.482822892565446,760.2998124013486,78.03125807748968
24,430195.0841034249,516.3123220733651,5.797763350229013,0.35099792523028395,152.2648065557373,742.0011457690742,336.22378692227886,2.168589701633227,3.420913776896492,743.637312964895,222.0447165976515
18,436004.8307650393,513.6130676048712,19.17681490304574,1.1579578987204822,172.10453242554462,729.7601190967074,407.05787065083433,6.0768608701691225,3.54663107174074,1125.8436493733839,72.81833786383966
47,436650.69860145793,513.4165503924416,19.17681490304574,5.956765928864646,172.10453242554462,729.7601190967074,419.7505157869507,6.0768608701691225,3.54663107174074,1125.8436493733839,51.88935924242004
2,441114.28015507804,510.2797111301132,15.945377851650559,21.547803202733654,163.73644880515025,711.4696742217002,432.7482750287326,14.571298372688139,3.413682024914995,1459.5527417970698,395.6385219924352
12,441229.920485377,506.5094367507029,4.645286581620615,1.0901845960273295,266.1898309233555,695.1305957999073,353.7192880806282,0.9709098226998516,0.3279592290529834,452.3087557618085,64.92020561156954
28,443812.5841514055,504.5267960111602,4.7306225943474915,0.0,267.093816493137,682.159449809429,375.1720239655403,6.174179218059849,2.2849799109322455,765.963864467133,2.164346672550375
48,449976.08772639645,501.3582030066421,5.825616834586762,0.35096860111406475,357.588002299219,668.3878193940387,333.82899856185753,17.155870382538208,2.795013516342616,938.8748966214715,44.687899074643234
11,453234.8695029632,498.3526460310542,22.05543575645934,0.016815349363868404,336.0831681761977,642.6484553255823,379.9703362660733,1.1238765300454183,2.261113648201776,1091.4183987794727,16.567465548649956
4,455883.45269382244,492.6921983545149,0.36039998965002784,0.0991441515519116,338.8650987250532,595.2213690504165,357.5168507437531,5.361498678201809,2.368750883808441,758.8499604975738,61.3875499067461
35,457202.85283458786,492.0054626181343,0.0,0.0,335.1836584640578,590.5561482362109,377.09200226367216,0.520786711874708,2.284671557845541,1142.4036552207851,71.41667170597842
1,460469.71161284304,489.29987396467766,78.30668314061566,0.8362182313057729,335.18614606743006,589.5536900367138,362.9738981733021,5.559494542758239,2.2845462024943073,761.3444633156664,61.98581945745068
44,462980.8094305101,484.4045391238367,24.27693948174488,0.016815349363868404,336.31610398966995,558.0926598078233,379.9703362660733,1.1238765300454183,2.2610418719126213,1091.4183987794727,16.567465548649956
0,468514.01210057095,482.1507955619752,122.76294130707393,5.952972718473378,336.3138003784421,563.172008246595,383.0008467904966,3.3028165389783277,2.2184281422888543,1415.4158399123942,46.993626026343016
46,472295.0493031881,478.9955786507667,123.21608294384481,5.9529727184733785,356.33971459661467,546.6384965596992,419.9785552944308,1.066362676625792,2.2184281422888543,1041.1868226943557,52.4090451915516
