window_id,hours,per_period_cut_count,mean_positive_sign_width_mw,mean_negative_sign_width_mw,positive_sign_width_reduction_fraction,negative_sign_width_reduction_fraction,selected_face_witness_mwh,reference_d29_lower_bound_mwh,reference_d29_upper_bound_mwh,primal_bound_mwh,recomputed_redistribution_mwh,dual_bound_mwh,relative_gap,termination,strict_global_lower_bound_mwh,strict_global_upper_bound_mwh,global_upper_bound_improvement_mwh,global_upper_bound_improvement_fraction,global_upper_bound_improved,exact_global_maximum,witness_reference_excess_mwh,witness_clamped_to_reference,dual_reference_deficit_mwh,dual_clamped_to_reference_lower,maximum_positive_normalized_constraint_residual,auxiliary_objective_mismatch_mwh,known_witness_within_bounds,feasible_set_changed_for_integer_solutions,primary_integer_patterns_reopened,sign_binaries_reopened,global_dual_is_valid_l1_upper_bound,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_day_20240101,24,144,460.687180127,689.302778966,0.341875457,0.015281744,26010.174917651,26010.174929016,26010.174929016,26010.174917651,26010.174917651,26010.174917651,0.000000000,optimal,26010.174929016,26010.174929016,0.000000000,0.000000000,false,true,-0.000011365,false,0.000011365,true,0.000000000,0.000000000,true,false,true,true,true,false,false,false,exact_reference_interval_retained_not_formal_tac
winter_fortnight_20240101,336,2016,466.825418846,686.938861534,0.333106545,0.018658769,36382.462798672,36382.462798684,845052.030831414,36382.462798682,36382.462798682,777141.368858457,20.360328825,maxtimelimit,36382.462798684,777141.368858457,67910.661972957,0.080362699,true,false,-808669.568032732,false,-740758.906059773,false,0.000000000,0.000000000,true,false,true,true,true,false,false,false,strict_global_upper_bound_tightened_not_formal_tac
