window_id,hours,selected_face_witness_mwh,support_primal_mwh,support_dual_mwh,support_relative_gap,support_termination,support_sign_fixed_point,support_dual_is_global_l1_upper_bound,global_primal_mwh,global_dual_mwh,global_relative_gap,global_termination,global_bound_certificate_complete,strict_global_lower_bound_mwh,strict_global_upper_bound_mwh,exact_global_maximum,maximum_positive_normalized_constraint_residual,maximum_auxiliary_objective_mismatch_mwh,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_day_20240101,24,26010.174917651,26010.174929016,26010.174929016,0.000000000,optimal,true,false,26010.174929016,26010.174929016,0.000000000,optimal,true,26010.174929016,26010.174929016,true,0.000000000,0.000000000,false,false,false,exact_strict_global_maximum_not_formal_tac
winter_fortnight_20240101,336,36382.462798672,36382.462798672,42290.912450405,0.162398287,maxtimelimit,true,false,36382.462798672,1081649.139331234,28.729959330,maxtimelimit,true,36382.462798672,1081649.139331234,false,0.000000000,0.000000000,false,false,false,bounded_strict_global_maximum_not_formal_tac
