window_id,hours,block_hours,block_count,finite_block_dual_count,optimal_block_count,time_limited_block_count,all_known_witness_blocks_within_bounds,summed_protected_block_upper_bound_mwh,reference_d30_lower_bound_mwh,reference_d30_upper_bound_mwh,retained_strict_global_lower_bound_mwh,retained_strict_global_upper_bound_mwh,upper_bound_improvement_fraction,materiality_threshold_fraction,materiality_gate_passed,global_probe_launched,exact_24h_equivalence_gate_passed,feasible_set_changed_for_integer_solutions,global_dual_is_valid_l1_upper_bound,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_day_20240101,24,24,1,1,0,1,true,365735.157022637,26010.174929016,26010.174929016,26010.174929016,26010.174929016,0.000000000,0.010000000,false,true,true,false,true,false,false,false,exact_24h_equivalence_retained
winter_fortnight_20240101,336,24,14,14,4,10,true,1930160.868929464,36382.462798684,777141.368858457,36382.462798684,777141.368858457,0.000000000,0.010000000,false,false,false,false,true,false,false,false,negative_screen_retains_d30_no_336h_global_probe
