window_id,hours,workers,lp_solve_count,optimal_lp_solve_count,known_d19_witness_within_bounds,d30_mean_positive_sign_width_mw,d30_mean_negative_sign_width_mw,d31_mean_positive_sign_width_mw,d31_mean_negative_sign_width_mw,positive_width_reduction_vs_d30_fraction,negative_width_reduction_vs_d30_fraction,screening_metric_fraction,global_probe_materiality_threshold_fraction,global_probe_launched,exact_24h_equivalence_gate_passed,retained_strict_global_lower_bound_mwh,retained_strict_global_upper_bound_mwh,global_dual_is_valid_l1_upper_bound,feasible_set_changed_for_integer_solutions,all_integer_domains_relaxed,intertemporal_constraints_retained,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_day_20240101,24,4,96,96,true,460.687180127,689.302778966,221.559979543,405.453402728,0.519066323,0.411792009,0.519066323,0.010000000,true,true,26010.174929016,26010.174929016,true,false,true,true,false,false,false,exact_24h_equivalence_gate_passed_not_formal_tac
winter_fortnight_20240101,336,28,1344,1344,true,466.825418846,686.938861534,466.671905012,686.345075261,0.000328846,0.000864395,0.000864395,0.010000000,false,false,36382.462798684,777141.368858457,true,false,true,true,false,false,false,negative_obbt_screen_336h_global_probe_not_launched_d30_interval_retained
