window_id,window_start,hours,annual_weight_per_hour,common_pcc_export_mwh,comparator_primary_cost_cap_cny,candidate_primary_cost_cap_cny,comparator_curtailment_cap_mwh,candidate_curtailment_cap_mwh,selected_d22_redistribution_mwh,minimum_primal_bound_mwh,minimum_dual_bound_mwh,minimum_relative_gap,minimum_termination,maximum_primal_bound_mwh,maximum_dual_bound_mwh,maximum_relative_gap,maximum_termination,robust_settlement_upper_bound_cny_per_year_per_cny_per_mwh_spread,selected_within_feasible_extremes,selected_within_certified_outer_envelope,minimum_comparator_cost_cny,minimum_candidate_cost_cny,minimum_comparator_curtailment_mwh,minimum_candidate_curtailment_mwh,maximum_comparator_cost_cny,maximum_candidate_cost_cny,maximum_comparator_curtailment_mwh,maximum_candidate_curtailment_mwh,max_annual_pcc_service_residual_mwh,max_admissibility_violation,maximum_extreme_max_abs_period_delta_mw,primary_integer_patterns_reopened,actual_price_path_assigned,time_varying_settlement_complete,formal_tac,e1_ready,scientific_status
winter_day_20240101,2024-01-01T00:00:00,24,366.000000000,4656918.486026000,544196705.298345089,531303585.538258016,578534.891132000,300644.172017000,26010.174917694,26009.981812654,26009.981812654,0.000000000,optimal,26010.174929020,26010.174929020,0.000000000,optimal,26010.174929020,true,true,544196705.298341513,531303585.538256347,578534.890136624,300644.172017000,544196705.298345089,531303585.538257897,578534.890136583,300644.171015712,0.000000002,0.000000000,64.101151740,true,false,false,false,false,exact_alternative_dispatch_envelope_not_formal_tac
winter_fortnight_20240101,2024-01-01T00:00:00,336,26.142857143,4269882.495252000,525400612.584187984,510369516.087912023,583464.372035000,261991.788869000,31228.008145116,31172.816468156,0.000000000,1.000000000,maxtimelimit,31172.816468156,983262.066873842,30.542291595,maxtimelimit,983262.066873842,false,true,525400612.583074987,509390760.414815962,583464.371034507,257378.601882279,525400612.583074987,509390760.414815962,583464.371034507,257378.601882279,0.000000003,0.000000000,151.570677206,true,false,false,false,false,bounded_alternative_dispatch_envelope_not_formal_tac
