ele_load(kW),heat_load(kW),cool_load(kW),solarRadiation(W/m-2),windSpeed(m/s),temperature(C)
2403.9552,1041.6837,319.0754,0.0,7.61,5.15
2318.2743,1009.7945000000001,307.703,0.0,7.51,5.23
2224.0525,971.2659,295.197,0.0,7.31,5.26
2125.8327,928.3723000000001,282.1604,0.0,7.42,5.37
2055.0504,906.7476999999999,272.7655,0.0,7.59,5.58
1996.6195,885.4775999999999,265.01,0.0,7.57,5.71
1925.7587000000003,856.2273,255.6047,0.0,7.92,5.9
1874.9598999999998,835.7594,248.8622,0.0,8.18,6.1
2228.0138,993.1325,295.7228,0.0,8.28,6.26
2043.7307999999998,917.9154000000001,271.263,0.0,8.43,6.44
1859.4479000000001,839.3484,246.8033,0.0,8.71,6.64
1761.539,797.1427,233.80790000000002,0.0,8.61,6.72
1663.6301,756.5954,220.8125,0.0,8.55,6.76
1565.7212,719.1432000000001,207.81709999999998,0.0,8.44,6.75
1602.5401000000002,734.2437999999999,212.7041,0.0,8.14,6.63
1639.3591000000001,752.9653999999999,217.59099999999998,0.0,7.71,6.56
1643.918,762.4881999999999,218.19619999999998,0.0,7.11,6.54
1648.4770999999998,757.1533999999999,218.8013,41.59,6.46,6.58
1653.0360999999998,749.9097999999999,219.4064,83.41,6.0,6.79
1606.5137,725.1748000000001,213.2315,115.95,5.74,7.13
1559.9913000000001,690.0757000000001,207.0566,131.75,5.51,7.45
1495.3869,663.1868,198.4817,131.05,5.31,7.69
1430.7825,636.1519000000001,189.9068,96.95,4.53,7.63
1366.1781,610.5145,181.3319,41.77,3.72,6.95
1330.1542000000002,598.9243,176.5505,0.0,3.67,6.19
1294.1302,587.09,171.769,0.0,3.64,5.89
1280.3538,588.0726,169.9405,0.0,3.31,5.55
1266.5774000000001,588.8996,168.112,0.0,2.99,4.76
1252.8011,585.3249,166.28349999999998,0.0,2.57,4.42
1254.6778,583.3668,166.53259999999997,0.0,2.77,4.44
1256.5546000000002,584.2394,166.78169999999997,0.0,2.52,4.08
1241.4358,577.2098000000001,164.7749,0.0,2.24,3.74
1226.3168999999998,571.5657,162.7682,0.0,1.99,3.51
1211.1981,554.9407,160.76149999999998,0.0,1.7,3.37
1189.0524,539.4208,157.82209999999998,0.0,1.28,3.22
1166.9067,530.6926,154.8828,0.0,0.97,3.05
1181.4756,537.3183,156.8165,0.0,0.69,2.87
1196.0446000000002,538.5391999999999,158.7502,0.0,0.47,2.77
1210.6135,540.9961,160.6839,0.0,0.27,2.73
1251.7078999999999,555.1179,166.1384,0.0,0.31,2.73
1292.8020999999999,568.9612000000001,171.59279999999998,0.0,0.57,2.79
1315.2967999999998,568.4594999999999,174.5785,35.48,0.98,3.19
1337.7915,567.602,177.56419999999997,59.66,1.4,3.76
1360.2862,572.5359,180.5499,102.49,1.81,4.31
1335.8113999999998,557.7072000000001,177.3014,113.01,2.27,4.83
1311.3367,540.0815,174.0528,75.87,2.58,5.1
1308.6468,533.0599,173.69580000000002,59.21,2.75,5.26
1305.9569000000001,526.0627,173.33880000000002,39.91,3.06,5.25
1303.267,522.0344,172.9818,0.0,3.62,5.24
1356.8483,537.3652999999999,180.0936,0.0,4.24,5.21
1410.4295000000002,553.8054,187.2054,0.0,4.64,5.18
1427.842,552.5769,189.5165,0.0,4.87,5.24
1445.2545,549.519,191.8277,0.0,4.69,5.29
1462.6670000000001,529.7007,194.1388,0.0,4.78,5.33
1483.26,522.0772000000001,196.8721,0.0,5.02,5.39
1503.8529,524.2286,199.6054,0.0,5.09,5.47
