window_id,hours,selected_face_minimum_primal_mwh,selected_face_minimum_dual_mwh,selected_face_minimum_bound_complete,selected_face_maximum_primal_mwh,selected_face_maximum_dual_mwh,selected_face_maximum_bound_complete,reopened_minimum_primal_mwh,reopened_minimum_dual_mwh,reopened_minimum_relative_gap,reopened_minimum_termination,reopened_maximum_primal_mwh,reopened_maximum_dual_mwh,reopened_maximum_relative_gap,reopened_maximum_termination,exact_reopened_envelope,maximum_positive_normalized_constraint_residual,maximum_auxiliary_objective_mismatch_mwh,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_day_20240101,24,26010.171142741,26010.171142741,true,26010.174917651,26010.174917651,true,26010.171142741,26010.171142741,0.000000000,optimal,26010.174917651,26010.174917651,0.000000000,optimal,true,0.000000000,0.000000000,false,false,false,exact_strict_numerical_envelope_not_formal_tac
winter_fortnight_20240101,336,15594.993899671,15594.993899671,true,36382.462798672,,false,15594.993899671,0.000000000,1.000000000,maxtimelimit,36382.462798672,1362149.106858033,36.439716888,maxtimelimit,false,0.000000000,0.000000000,false,false,false,bounded_strict_numerical_envelope_not_formal_tac
