design,budget_case,annual_cost_EUR,PV_kW,WT_kW,GT_kW,HP_kW,EC_kW,AC_kW,HS_kW,CS_kW
Economic optimum,Baseline,421672.1809755605,0.0299229681635648,0.0,8.14259804547223,919.2468000870882,306.9310286780455,4.229078731743088,1104.4167821200244,321.5501365348996
Std,+100% allowance,637428.2447973235,776.038656253885,181.547838971791,705.7961504420637,194.1007605621479,335.001997067189,128.2235389995484,978.3117208254818,243.6576234658852
IEMI,+100% allowance,868655.5559226787,1445.3739948806892,0.0,968.5163898050382,0.527928896170311,0.0480274688950896,472.1704913142386,519.1773763244647,390.3823164199514
