method,n_solutions_total,n_solutions_used_for_range,feasible_max_cost_EUR,economic_cost_min_EUR,economic_cost_max_EUR,pareto_front_width_kEUR,matching_index_min,matching_index_max,width_ratio_vs_std
economic_only,1,1,,421672.180976,421672.180976,0.000000,,,0.000000
std,50,50,,428697.994259,637428.244797,208.730251,417.530614,527.985490,1.000000
euclidean,50,50,,455030.683443,1722029.557499,1266.998874,600.117729,2213.392521,6.070030
