window_id,hours,per_period_cut_count,aggregate_cut_count,selected_face_witness_mwh,reference_d27_lower_bound_mwh,reference_d27_upper_bound_mwh,primal_bound_mwh,recomputed_redistribution_mwh,dual_bound_mwh,relative_gap,termination,strict_global_lower_bound_mwh,strict_global_upper_bound_mwh,global_upper_bound_improvement_mwh,global_upper_bound_improvement_fraction,global_upper_bound_improved,exact_global_maximum,maximum_positive_normalized_constraint_residual,auxiliary_objective_mismatch_mwh,feasible_set_changed_for_integer_solutions,primary_integer_patterns_reopened,sign_binaries_reopened,global_dual_is_valid_l1_upper_bound,actual_price_path_assigned,formal_tac,e1_ready,scientific_status
winter_day_20240101,24,96,5,26010.174917651,26010.174929016,26010.174929016,26010.174936941,26010.174918944,26010.174936941,0.000000000,optimal,26010.174929016,26010.174929016,0.000000000,0.000000000,false,true,0.000000000,-0.000017997,false,true,true,true,false,false,false,exact_reference_interval_retained_not_formal_tac
winter_fortnight_20240101,336,1344,5,36382.462798672,36382.462798672,1081649.139331234,36382.462798684,36382.462798684,845052.030831414,22.226905653,maxtimelimit,36382.462798684,845052.030831414,236597.108499820,0.218737389,true,false,0.000000000,0.000000000,false,true,true,true,false,false,false,strict_global_upper_bound_tightened_not_formal_tac
