window_id,window_start,hours,annual_weight_per_hour,curtailment_service_id,service_curtailment_ceiling_mwh,pcc_export_service_id,pcc_export_target_mwh,comparator_pcc_export_mwh,candidate_pcc_export_mwh,pcc_export_difference_mwh,flat_price_settlement_difference_cny_per_year,comparator_curtailment_mwh,candidate_curtailment_mwh,curtailment_reduction_mwh,comparator_fuel_tce,candidate_fuel_tce,fuel_saving_tce,tes_auxiliary_mwh_e,comparator_primary_cost_cny,candidate_audited_cost_cny,candidate_primary_primal_bound_cny,candidate_primary_dual_bound_cny,candidate_primary_mip_gap,candidate_primary_cost_tolerance_cny,secondary_curtailment_mip_gap,candidate_service_feasibility_warm_start,candidate_service_feasibility_deviation_mw,tes_ownership_eac_lower_bound_cny_per_year,tes_ownership_eac_upper_bound_cny_per_year,tes_ownership_eac_interval_width_cny_per_year,eac_lower_cny_per_kwh_th_year,eac_upper_cny_per_kwh_th_year,eac_lower_cny_per_kw_port_year,eac_upper_cny_per_kw_port_year,claim_scope,formal_tes_portfolio_ready,non_tes_cost_scope_complete,scientific_status
winter_day_20240101,2024-01-01T00:00:00,24,366.000000,e0d19_primary_incumbent_no_storage:winter_day_20240101,578534.890444,e0d19_flat_price_common_delivery:winter_day_20240101,4656918.486026,4656918.486026,4656918.486026,0.000000,0.000000,578534.890132,300644.171017,277890.719115,679515.402564,663416.309389,16099.093175,4279.052611,544196705.297345,531303585.537258,531303585.537257,531303585.537257,0.000000,0.000001,0.000000,false,,12893119.760087,12893119.760087,0.000000,10.744266,10.744266,85.954132,85.954132,exploratory_threshold_only,false,false,exact_24h_same_pcc_service_diagnostic
winter_fortnight_20240101,2024-01-01T00:00:00,336,26.142857,e0d19_primary_incumbent_no_storage:winter_fortnight_20240101,583464.371315,e0d19_flat_price_common_delivery:winter_fortnight_20240101,4269882.495252,4269882.495252,4269882.495252,0.000000,0.000000,583464.371035,261991.787869,321472.583166,656045.516798,637276.822524,18768.694274,13721.534322,525400612.583188,510369516.086905,510369515.576542,509070424.190593,0.002545,0.510370,0.000000,true,0.000000,15031096.496283,16330188.392595,1299091.896312,12.525914,13.608490,100.207310,108.867923,exploratory_threshold_only,false,false,bounded_gap_336h_same_pcc_service_interval_not_formal_tac
